ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7
26,0.9905019,0.9417,-0.048429906,-0.6350393,0.17773402,0.38852322,-0.971858,0.7856953,-0.12918967
27,0.96439874,0.9417,0.6791998,-0.6350393,0.17773402,0.38852322,-0.971858,0.08080292,-0.009112716
28,0.98956007,0.9417,-0.048429906,-0.6350393,0.17773402,0.38852322,-0.971858,0.08080292,-0.12918967
29,0.99047273,0.9417,-0.048429906,-0.6350393,0.17773402,0.38852322,-0.971858,0.08080292,-0.12918967
30,0.989612,0.9417,-0.048429906,-0.6350393,0.17773402,0.38852322,-0.971858,0.08080292,-0.12918967
31,0.9907634,0.9417,-0.048429906,-0.6350393,0.17773402,0.38852322,-0.971858,0.08080292,-0.12918967
32,0.9903745,0.9417,-0.048429906,-0.6350393,0.17773402,0.38852322,-0.971858,-0.71728873,-0.12918967
33,0.98999494,0.9417,-0.035492003,-0.6350393,0.17773402,0.38852322,-0.971858,0.08080292,-0.12918967
34,0.9896661,0.9417,-0.048429906,-0.6350393,0.17773402,0.38852322,-0.971858,-0.71728873,-0.12918967
35,0.99005544,0.9417,-0.035492003,-0.6350393,0.17773402,0.38852322,-0.971858,-0.71728873,-0.12918967
36,0.99080116,0.9417,-0.035492003,-0.6350393,0.17773402,0.38852322,-0.971858,0.08080292,-0.12918967
37,0.98959464,0.9417,-0.035492003,-0.6350393,0.17773402,0.38852322,-0.971858,-0.71728873,-0.12918967
38,0.98948693,0.9417,-0.035492003,-0.6350393,0.17773402,0.38852322,-0.971858,-0.71728873,-0.12918967
39,0.991545,0.9417,-0.035492003,-0.6350393,0.17773402,0.38852322,-0.971858,-0.71728873,-0.12918967
40,0.99048084,0.9417,-0.035492003,-0.6350393,0.17773402,0.38852322,-0.971858,-0.71728873,-0.12918967
41,0.99012613,0.9417,-0.035492003,-0.6350393,0.17773402,0.38852322,-0.971858,-0.71728873,-0.12918967
42,0.98797345,0.25317597,-0.035492003,-0.6350393,0.17773402,0.38852322,-0.971858,-0.71728873,-0.12918967
43,0.92246807,0.25317597,-0.035492003,-0.017200291,0.17773402,-0.3319021,-0.971858,-0.71728873,-0.12918967
44,0.942958,0.9417,-0.7415714,-0.6350393,0.17773402,-0.3319021,-0.971858,0.7485627,-0.12918967
45,0.8869847,0.9417,-0.7415714,-0.6350393,-0.1828106,-0.3319021,0.9446541,-0.71728873,-0.12918967
46,0.9117061,0.25317597,-0.7415714,-0.6350393,0.17773402,-0.3319021,0.9446541,0.7485627,0.26956403
47,0.9937097,0.25317597,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
48,0.99312,0.25317597,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
49,0.99329937,0.30526865,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
50,0.99289876,0.30526865,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
51,0.99351764,0.30526865,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
52,0.99333364,0.30526865,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
53,0.9936332,0.30526865,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,-0.0070661306,0.26956403
54,0.9938179,0.30526865,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
55,0.9933928,0.30526865,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
56,0.99355507,0.30526865,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
57,0.95981187,0.30526865,-0.7415714,0.7721462,-0.1828106,-0.3319021,0.9446541,0.7485627,0.26956403
58,0.9932269,0.30526865,-0.7415714,-0.017200291,-0.1828106,-0.3319021,0.9446541,-0.0070661306,0.26956403
59,0.9622333,0.019585371,-0.7415714,0.7721462,-0.1828106,-0.3319021,0.9446541,-0.6475507,0.26956403
60,0.8282285,0.25317597,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,0.26956403
61,0.99741703,0.25317597,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
62,0.99755144,0.019585371,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
63,0.9974822,0.25317597,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
64,0.9973215,0.25317597,-0.43172622,0.7721462,0.09590733,0.12667799,-0.8303008,-0.6475507,-0.14812654
