Circle X,Circle Y,Agent X,N0_state,N0_output,N1_state,N1_output,N2_state,N2_output,N3_state,N3_output,N4_state,N4_output,N5_state,N5_output,N6_state,N6_output,N7_state,N7_output,N8_state,N8_output,N9_state,N9_output,N10_state,N10_output,N11_state,N11_output
200.0,33.0,230.0,-7.91096305847168,8.954517397796735E-6,8.063007354736328,0.9872655868530273,0.5828526020050049,0.01755986362695694,-1.1972123384475708,0.0030049399938434362,-2.338977813720703,9.613081929273903E-4,-0.5621494054794312,0.005655667278915644,0.1483878791332245,0.011442773975431919,0.15690529346466064,0.32816895842552185,0.25690528750419617,0.3505828082561493,0.3544643223285675,0.3731050193309784,0.15690529346466064,0.32816895842552185,0.15690529346466064,0.32816895842552185
200.0,36.0,235.0,-5.823341369628906,7.221996929729357E-5,5.9514570236206055,0.9037041068077087,0.6203176975250244,0.018218016251921654,-1.3139760494232178,0.0026746666990220547,-2.550002336502075,7.785658817738295E-4,-0.6205294728279114,0.005336652975529432,0.1482919454574585,0.011441689915955067,0.1412147581577301,0.32471898198127747,0.3312147557735443,0.36768317222595215,0.3190178871154785,0.3648521304130554,0.1412147581577301,0.32471898198127747,0.1412147581577301,0.32471898198127747
200.0,39.0,238.0,-4.064261436462402,4.1924245306290686E-4,4.172214984893799,0.6129749417304993,0.6068713665008545,0.01797906868159771,-1.3500696420669556,0.0025800953153520823,-2.590017557144165,7.480493513867259E-4,-0.6455065011978149,0.005205697380006313,0.13124068081378937,0.01125042513012886,0.12709328532218933,0.3216301500797272,0.3980932831764221,0.38336488604545593,0.2871161103248596,0.35749173164367676,0.12709328532218933,0.3216301500797272,0.12709328532218933,0.3216301500797272
200.0,42.0,239.0,-2.582019329071045,0.0018432136857882142,2.672983407974243,0.2612663507461548,0.5387604236602783,0.016815168783068657,-1.3005183935165405,0.002710806904360652,-2.4499664306640625,8.604085887782276E-4,-0.6357129812240601,0.005256659351289272,0.0955168604850769,0.010859895497560501,0.11438395828008652,0.31886351108551025,0.5582839846611023,0.42187049984931946,0.2584044933319092,0.35092422366142273,0.11438395828008652,0.31886351108551025,0.11438395828008652,0.31886351108551025
200.0,45.0,239.0,-1.3330469131469727,0.006397516466677189,1.4096953868865967,0.09090083092451096,0.45189082622528076,0.015437692403793335,-1.2214066982269287,0.0029333196580410004,-2.2435452938079834,0.001057466259226203,-0.6122503280639648,0.0053807818330824375,0.05463455244898796,0.010429410263895988,0.10294556617736816,0.31638437509536743,0.7024555802345276,0.4573717713356018,0.2325640469789505,0.3450613021850586,0.10294556617736816,0.31638437509536743,0.10294556617736816,0.31638437509536743
200.0,48.0,240.0,-1.9658806324005127,0.0034078473690897226,2.030466318130493,0.1568421870470047,0.38612887263298035,0.014469358138740063,-1.171143651008606,0.003084060037508607,-2.092756748199463,0.0012293584877625108,-0.5962316989898682,0.005467195063829422,0.022213324904441833,0.010100060142576694,0.09265100955963135,0.314162015914917,0.8322100639343262,0.4897080659866333,0.20930764079093933,0.3398245871067047,0.09265100955963135,0.314162015914917,0.09265100955963135,0.314162015914917
200.0,51.0,241.0,-2.4991211891174316,0.0020022056996822357,2.5535426139831543,0.2388785481452942,0.34162279963493347,0.013848225586116314,-1.1499018669128418,0.003150062868371606,-1.9997491836547852,0.0013490223791450262,-0.588698148727417,0.005508307367563248,-0.0014895424246788025,0.009865806438028812,0.0833859071135521,0.3121691644191742,0.9489890336990356,0.5188923478126526,0.18837687373161316,0.3351447880268097,0.0833859071135521,0.3121691644191742,0.0833859071135521,0.3121691644191742
200.0,54.0,243.0,-2.9484424591064453,0.0012784560676664114,2.9942991733551025,0.3278156518936157,0.3169674277305603,0.013515525497496128,-1.1555705070495605,0.0031323127914220095,-1.9613783359527588,0.00140171789098531,-0.5895131230354309,0.005503844935446978,-0.016955774277448654,0.009715864434838295,0.0750473141670227,0.3103815019130707,1.054090142250061,0.5450540781021118,0.1695391833782196,0.3309604227542877,0.0750473141670227,0.3103815019130707,0.0750473141670227,0.3103815019130707
200.0,57.0,245.0,-3.3270511627197266,8.758569019846618E-4,3.3656911849975586,0.414185494184494,0.3093770146369934,0.013414698652923107,-1.1840273141860962,0.0030447011813521385,-1.9699795246124268,0.0013897297903895378,-0.5976071953773499,0.005459719803184271,-0.025246229022741318,0.00963642355054617,0.06754258275032043,0.30877745151519775,1.1486811637878418,0.5683929920196533,0.15258526802062988,0.3272172212600708,0.06754258275032043,0.30877745151519775,0.06754258275032043,0.30877745151519775
200.0,60.0,247.0,-3.64607572555542,6.367756868712604E-4,3.6786346435546875,0.4915643036365509,0.3153536319732666,0.013494022190570831,-1.2301263809204102,0.0029079278465360403,-2.015530586242676,0.0013279281556606293,-0.6114113330841064,0.005385275464504957,-0.02771497331559658,0.009612888097763062,0.06078832596540451,0.30733776092529297,1.2338130474090576,0.5891444087028503,0.13732674717903137,0.3238670229911804,0.06078832596540451,0.30733776092529297,0.06078832596540451,0.30733776092529297
